seine_id,species,date_caught,site,n_to_dissect,Dissected,Notes
DN207,PI,2015-05-16,D07,1,NA,NA
DN215,PI,2015-05-21,D07,8,NA,NA
DN269,PI,2015-06-07,D07,6,NA,NA
DN273,PI,2015-06-09,D07,1,NA,NA
DN275,PI,2015-06-11,D07,3,NA,NA
DN282,PI,2015-06-13,D07,3,NA,NA
DN211,PI,2015-05-19,D08,2,NA,NA
DN243,PI,2015-05-31,D08,1,NA,NA
JN247,PI,2015-06-04,J03,7,NA,NA
JN261,PI,2015-06-08,J03,1,NA,NA
JN284,PI,2015-06-17,J03,10,NA,NA
JN299,PI,2015-06-23,J03,10,NA,NA
JN317,PI,2015-07-01,J03,10,NA,NA
DN206,PI,2015-05-16,D06,2,NA,NA
DN258,PI,2015-06-04,D06,4,NA,NA
DN317,PI,2015-06-23,D06,4,NA,NA
DN211,HE,2015-05-19,D08,5,NA,NA
DN216,HE,2015-05-23,D08,1,NA,NA
DN294,HE,2015-06-17,D08,1,NA,NA
JN233,HE,2015-05-31,J03,10,NA,NA
JN261,HE,2015-06-08,J03,2,NA,NA
JN284,HE,2015-06-17,J03,10,NA,NA
JN299,HE,2015-06-23,J03,5,NA,NA
JN311,HE,2015-06-28,J03,10,NA,NA
DN301,HE,2015-06-19,D06,1,NA,NA
DN317,HE,2015-06-23,D06,1,NA,NA
DN215,CU,2015-05-21,D07,10,NA,NA
DN263,CU,2015-06-05,D07,10,NA,NA
DN269,CU,2015-06-07,D07,10,NA,NA
DN282,CU,2015-06-13,D07,10,NA,NA
DN211,CU,2015-05-19,D08,10,NA,NA
DN216,CU,2015-05-23,D08,10,NA,NA
DN243,CU,2015-05-31,D08,10,NA,NA
DN294,CU,2015-06-17,D08,10,NA,NA
JN217,CU,2015-05-26,J03,10,NA,NA
JN233,CU,2015-05-31,J03,10,NA,NA
JN261,CU,2015-06-08,J03,10,NA,NA
JN277,CU,2015-06-15,J03,10,NA,NA
JN299,CU,2015-06-23,J03,10,NA,NA
JN311,CU,2015-06-28,J03,10,NA,NA
DN206,CU,2015-05-16,D06,10,NA,NA
DN240,CU,2015-05-30,D06,10,NA,NA
DN301,CU,2015-06-19,D06,10,NA,NA
DN317,CU,2015-06-23,D06,10,NA,NA
DN211,CO,2015-05-19,D08,2,NA,NA
DN216,CO,2015-05-23,D08,1,NA,NA
DN294,CO,2015-06-17,D08,2,NA,NA
JN217,CO,2015-05-26,J03,1,NA,NA
JN299,CO,2015-06-23,J03,1,NA,NA
JN311,CO,2015-06-28,J03,1,NA,NA
DN206,CO,2015-05-16,D06,4,NA,NA
