semsp_id,ufn,sample_type,sample_id,container_id,container_cell,sample_location,comments_sample,sample_status,sample_qc_flag,sample_flag_reason,sample_qc_log,container_type,storage_medium,date_updated,current_location,storage_unit,storage_tier_1,storage_tier_2,shipping_container,date_shipped,shipping_destination,date_received,expecting_return,date_returned,comments
2017-05-25-D09-SO-1,U10081,RNA-muscle,BRN54M-E7,BRN54M,E7,BRN54M-E7,NA,being_processed,N,NA,NA,RNA_DNA_muscle,frozen -80,2018-04-27,UBC Hunt Lab,NA,NA,NA,RNA:DNA/FA Box 3,2018-04-27,UBC Hunt Lab (Jessica Garzke),2018-04-27,N,NA,NA
2017-05-25-D09-SO-2,U10082,RNA-muscle,BRN54M-C7,BRN54M,C7,BRN54M-C7,NA,being_processed,N,NA,NA,RNA_DNA_muscle,frozen -80,2018-04-27,UBC Hunt Lab,NA,NA,NA,RNA:DNA/FA Box 3,2018-04-27,UBC Hunt Lab (Jessica Garzke),2018-04-27,N,NA,NA
2017-05-25-D09-SO-3,U10083,RNA-muscle,BRN58M-H1,BRN58M,H1,BRN58M-H1,NA,being_processed,N,NA,NA,RNA_DNA_muscle,frozen -80,2018-04-27,UBC Hunt Lab,NA,NA,NA,RNA:DNA/FA Box 3,2018-04-27,UBC Hunt Lab (Jessica Garzke),2018-04-27,N,NA,NA
2017-06-07-D09-SO-1,U10561,RNA-muscle,BRN54M-H9,BRN54M,H9,BRN54M-H9,Left in coolbox in -20 freezer for 40 hrs; likely not useable,being_processed,N,NA,NA,RNA_DNA_muscle,frozen -80,2018-04-27,UBC Hunt Lab,NA,NA,NA,RNA:DNA/FA Box 3,2018-04-27,UBC Hunt Lab (Jessica Garzke),2018-04-27,N,NA,NA
2017-06-07-D09-SO-2,U10562,RNA-muscle,BRN54M-B9,BRN54M,B9,BRN54M-B9,Left in coolbox in -20 freezer for 40 hrs; likely not useable,being_processed,N,NA,NA,RNA_DNA_muscle,frozen -80,2018-04-27,UBC Hunt Lab,NA,NA,NA,RNA:DNA/FA Box 3,2018-04-27,UBC Hunt Lab (Jessica Garzke),2018-04-27,N,NA,NA
2017-06-07-D09-SO-3,U10563,RNA-muscle,BRN54M-B7,BRN54M,B7,BRN54M-B7,fish fell on bench top,being_processed,N,NA,NA,RNA_DNA_muscle,frozen -80,2018-04-27,UBC Hunt Lab,NA,NA,NA,RNA:DNA/FA Box 3,2018-04-27,UBC Hunt Lab (Jessica Garzke),2018-04-27,N,NA,NA
2017-06-07-D09-SO-4,U10564,RNA-muscle,BRN54M-A9,BRN54M,A9,BRN54M-A9,NA,being_processed,N,NA,NA,RNA_DNA_muscle,frozen -80,2018-04-27,UBC Hunt Lab,NA,NA,NA,RNA:DNA/FA Box 3,2018-04-27,UBC Hunt Lab (Jessica Garzke),2018-04-27,N,NA,NA
2017-06-07-D09-SO-5,U10565,RNA-muscle,BRN54M-G12,BRN54M,G12,BRN54M-G12,Fish stored at -60C for 40 hrs; may be compromised,being_processed,N,NA,NA,RNA_DNA_muscle,frozen -80,2018-04-27,UBC Hunt Lab,NA,NA,NA,RNA:DNA/FA Box 3,2018-04-27,UBC Hunt Lab (Jessica Garzke),2018-04-27,N,NA,NA
2017-06-07-D09-SO-6,U10566,RNA-muscle,BRN54M-F12,BRN54M,F12,BRN54M-F12,Fish stored at -60C for 40 hrs; may be compromised,being_processed,N,NA,NA,RNA_DNA_muscle,frozen -80,2018-04-27,UBC Hunt Lab,NA,NA,NA,RNA:DNA/FA Box 3,2018-04-27,UBC Hunt Lab (Jessica Garzke),2018-04-27,N,NA,NA
2017-06-20-D09-SO-1,U11121,RNA-muscle,BRN54M-D6,BRN54M,D6,BRN54M-D6,NA,being_processed,N,NA,NA,RNA_DNA_muscle,frozen -80,2018-04-27,UBC Hunt Lab,NA,NA,NA,RNA:DNA/FA Box 3,2018-04-27,UBC Hunt Lab (Jessica Garzke),2018-04-27,N,NA,NA
2017-06-20-D09-SO-2,U11122,RNA-muscle,BRN54M-E6,BRN54M,E6,BRN54M-E6,NA,being_processed,N,NA,NA,RNA_DNA_muscle,frozen -80,2018-04-27,UBC Hunt Lab,NA,NA,NA,RNA:DNA/FA Box 3,2018-04-27,UBC Hunt Lab (Jessica Garzke),2018-04-27,N,NA,NA
2017-06-20-D09-SO-3,U11123,RNA-muscle,BRN54M-B6,BRN54M,B6,BRN54M-B6,NA,being_processed,N,NA,NA,RNA_DNA_muscle,frozen -80,2018-04-27,UBC Hunt Lab,NA,NA,NA,RNA:DNA/FA Box 3,2018-04-27,UBC Hunt Lab (Jessica Garzke),2018-04-27,N,NA,NA
2017-07-05-D09-SO-1,U11281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-07-05-D09-SO-2,U11282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
